,Name,City,Cuisine Style,Ranking,Rating,Price Range,Number of Reviews,Reviews,https://tripadvisor.com
32,Vinkkeli,Helsinki,"'European', 'Scandinavian', 'Vegetarian Friendly', 'Gluten Free Options'",33,4.5,$$$$,91,"'My best experience in Helsinki yet', 'Lovely evening', '12/08/2017', '10/11/2017'",https://tripadvisor.com/Restaurant_Review-g189934-d10171265-Reviews-Vinkkeli-Helsinki_Uusimaa.html
33,Ravintola Aino,Helsinki,"'European', 'Scandinavian', 'International', 'Gluten Free Options', 'Vegetarian Friendly'",34,4.5,$$ - $$$,179,"'Lovely', 'Order the creamy salmon/potato soup!!!', '12/21/2017', '11/03/2017'",https://tripadvisor.com/Restaurant_Review-g189934-d6517082-Reviews-Ravintola_Aino-Helsinki_Uusimaa.html
34,Hard Rock Cafe,Helsinki,"'American', 'Bar', 'Vegetarian Friendly'",35,4,$$ - $$$,790,"'Good， as expected', 'A standard Hard Rock Cafe', '01/01/2018', '12/22/2017'",https://tripadvisor.com/Restaurant_Review-g189934-d3571968-Reviews-Hard_Rock_Cafe-Helsinki_Uusimaa.html
35,Sandro Kallio,Helsinki,"'Moroccan', 'Mediterranean', 'Middle Eastern', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options'",36,4,$$ - $$$,383,"'Good place for lunch', 'Very good lunch and value for your money!', '11/08/2017', '10/19/2017'",https://tripadvisor.com/Restaurant_Review-g189934-d4419446-Reviews-Sandro_Kallio-Helsinki_Uusimaa.html
36,Kolme Kruunua,Helsinki,"'European', 'Scandinavian', 'International', 'Vegetarian Friendly', 'Gluten Free Options'",37,4.5,$$ - $$$,335,"'Good Food', 'Tasty food', '12/18/2017', '12/10/2017'",https://tripadvisor.com/Restaurant_Review-g189934-d779689-Reviews-Kolme_Kruunua-Helsinki_Uusimaa.html
37,Ask,Helsinki,"'European', 'Scandinavian', 'International', 'Vegetarian Friendly', 'Gluten Free Options'",38,4.5,$$$$,213,"'This makes yuo happy!', 'Modern Nordic food', '11/15/2017', '10/26/2017'",https://tripadvisor.com/Restaurant_Review-g189934-d3462440-Reviews-Ask-Helsinki_Uusimaa.html
38,Natura,Helsinki,"'European', 'Contemporary', 'Scandinavian', 'Vegetarian Friendly', 'Gluten Free Options', 'Vegan Options'",39,4.5,$$$$,83,"'Fresh, delicious, and creative', 'small restaurant with uncompromising quali...', '01/09/2018', '01/04/2018'",https://tripadvisor.com/Restaurant_Review-g189934-d10139481-Reviews-Natura-Helsinki_Uusimaa.html
39,Naughty Brgr,Helsinki,"'American', 'Bar', 'Fast Food', 'Diner', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options'",40,4,$$ - $$$,279,"'Best burgers I have ever had', 'Suitable for families, friends gathering...', '01/07/2018', '12/30/2017'",https://tripadvisor.com/Restaurant_Review-g189934-d8868534-Reviews-Naughty_Brgr-Helsinki_Uusimaa.html
40,Restaurant Kannas,Helsinki,"'European', 'Pub', 'Scandinavian', 'Vegetarian Friendly', 'Gluten Free Options'",41,4.5,$$ - $$$,167,"'Excellent food!!!', 'Easy on the pocket', '11/17/2017', '11/05/2017'",https://tripadvisor.com/Restaurant_Review-g189934-d3895100-Reviews-Restaurant_Kannas-Helsinki_Uusimaa.html
41,Restaurant Saaga,Helsinki,"'European', 'Scandinavian', 'Gluten Free Options'",42,4,$$$$,281,"'Wonderful place for Dinner', 'Nice food, service quite slow', '11/12/2017', '11/03/2017'",https://tripadvisor.com/Restaurant_Review-g189934-d779343-Reviews-Restaurant_Saaga-Helsinki_Uusimaa.html
42,Restaurant Pastis,Helsinki,"'French', 'European', 'Central European', 'Vegetarian Friendly', 'Gluten Free Options'",43,4,$$ - $$$,241,"'good location', 'Great wines, great food', '12/09/2017', '11/24/2017'",https://tripadvisor.com/Restaurant_Review-g189934-d4079698-Reviews-Restaurant_Pastis-Helsinki_Uusimaa.html
